Result Type,Objective,Platform,Ad,Ad Group,Campaign,Spend,Impressions,Clicks,Video Starts,Reach,Video Full Completion,Engagements,Results,Text,Text ID
Link clicks,Missing Value,facebook,Undergraduate Templeton | Higher Ed Influencers | March 2021,Undergraduate Templeton | Higher Ed Influencers | March 2021,Undergraduate Templeton | Higher Ed Influencers | March 2021,35.11,10178,50,0.0,8496.0,0.0,6,50.0,Our research will change the world.,138
Link clicks,Missing Value,facebook,Veronica | Here We Go Mustangs | May 2021,Veronica | Here We Go Mustangs | May 2021,Veronica | Here We Go Mustangs | May 2021,315.63,37533,364,0.0,32853.0,0.0,52,364.0,Don't limits on what your mind wants to explore. The results can change lives.,63
Missing Value,Missing Value,facebook,Video Launch | SMU Students | SMU Giving Day 2021| March 2021; Video Launch | Graduate Alumni | SMU Giving Day 2021| March 2021;...and 5 more ads,Video Launch | SMU Students | SMU Giving Day 2021| March 2021; Video Launch | Graduate Alumni | SMU Giving Day 2021| March 2021;...and 5 more ads,Video Launch | SMU Students | SMU Giving Day 2021| March 2021; Video Launch | Graduate Alumni | SMU Giving Day 2021| March 2021;...and 5 more ads,296.41,23910,75,21734.0,15631.0,622.0,52,4235.0,"For one day, let's show the world what Mustangs can do.",76
Link clicks,Missing Value,facebook,West Dallas STEM | Higher Ed Stories | May 2021,West Dallas STEM | Higher Ed Stories | May 2021,West Dallas STEM | Higher Ed Stories | May 2021,62.910000000000004,7586,150,0.0,6471.0,0.0,27,150.0,"Investing in our community’s children – the problem solvers of the future. The next step of our partnership with Dallas ISD and the Toyota Foundation is the opening of the West Dallas STEM School, planned for August 2021.",108
Missing Value,Missing Value,facebook,What a Match | Higher Ed Influencers | Common Connections | January 2021,What a Match | Higher Ed Influencers | Common Connections | January 2021,What a Match | Higher Ed Influencers | Common Connections | January 2021,394.76,53224,1292,0.0,50121.0,0.0,70,1292.0,Let’s be honest. Sharing a dorm room with anyone is awkward at first. So how do roommates get past that and begin to bond? It usually boils down to respect.,117
Link clicks,Missing Value,facebook,What a Match | SMU Page Followers | Common Connections | January 2021,What a Match | SMU Page Followers | Common Connections | January 2021,What a Match | SMU Page Followers | Common Connections | January 2021,182.79,33700,268,0.0,28227.0,0.0,87,268.0,"We asked: What makes a great roommate? Responses covered the gamut, but it really boils down to respect.",234
Link clicks,Missing Value,facebook,What a Match | Texas Prospective Parents | Common Connections | January 2021,What a Match | Texas Prospective Parents | Common Connections | January 2021,What a Match | Texas Prospective Parents | Common Connections | January 2021,954.33,165708,1314,0.0,148017.0,0.0,29,1314.0,Let’s be honest. Sharing a dorm room with anyone is awkward at first. So how do roommates get past that and begin to bond? It usually boils down to respect.,117
Link clicks,Missing Value,facebook,What a Match | Texas Prospective Students | Common Connections | January 2021,What a Match | Texas Prospective Students | Common Connections | January 2021,What a Match | Texas Prospective Students | Common Connections | January 2021,538.95,147733,879,0.0,119796.0,0.0,26,879.0,Let’s be honest. Sharing a dorm room with anyone is awkward at first. So how do roommates get past that and begin to bond? It usually boils down to respect.,117
Link clicks,Missing Value,facebook,Wildfire Story Link | Texas Prospective Students | Wildfire Editorial | July 2021; Wildfire Story Link | SMU Page Followers | Wildfire Editorial | July 2021;...and 2 more ads,Wildfire Story Link | Texas Prospective Students | Wildfire Editorial | July 2021; Wildfire Story Link | SMU Page Followers | Wildfire Editorial | July 2021;...and 2 more ads,Wildfire Story Link | Texas Prospective Students | Wildfire Editorial | July 2021; Wildfire Story Link | SMU Page Followers | Wildfire Editorial | July 2021;...and 2 more ads,930.06,187987,2151,0.0,169075.0,0.0,862,2151.0,"As wildfires and the devastation that follows worsens each year, can we find a way to coexist with them? Today’s flammable landscapes have long human histories that have much to teach us.",43
Link clicks,Missing Value,instagram,Ad 1 December 2021;...and 3 more ads,Ad 1 December 2021;...and 3 more ads,Ad 1 December 2021;...and 3 more ads,216.91,162503,273,0.0,153486.0,0.0,926,273.0,"Capturing images through fog, face identification around corners, and imaging through barriers like the human skull are just some of the potential applications for the technology.",52
Link clicks,Missing Value,instagram,Ad 1-1 - Common Connections,Ad 1-1 - Common Connections,Ad 1-1 - Common Connections,667.7,432204,631,406593.0,286851.0,3535.0,124,631.0,"We have really tried to make this a very homey, comfortable place where students can really be who they are and get acceptance for who they are.” Learn more about what life on the Hilltop is all about.",237
Link clicks,Missing Value,instagram,Ad 1-2 - Common Connections;...and 1 more ad,Ad 1-2 - Common Connections;...and 1 more ad,Ad 1-2 - Common Connections;...and 1 more ad,156.95999999999998,185157,163,0.0,134397.0,0.0,249,163.0,"We have really tried to make this a very homey, comfortable place where students can really be who they are and get acceptance for who they are.” Learn more about what life on the Hilltop is all about.",237
Missing Value,Missing Value,instagram,Ad 10,Ad 10,Ad 10,0.01,5,0,0.0,5.0,0.0,0,0.0,"Two researchers and professors from SMU are leading a team that is creating ""Lab on a Chip,"" a new antibody test that could detect immune responses to viruses in two to three minutes.",225
Missing Value,Missing Value,instagram,Ad 11,Ad 11,Ad 11,0.0,1,0,0.0,1.0,0.0,0,0.0,A multidisciplinary approach to data science and public health paved the way for city leaders to improve the quality of life for residents in infrastrucure deserts in Dallas.,29
Missing Value,Missing Value,instagram,Ad 12,Ad 12,Ad 12,0.0,4,0,0.0,4.0,0.0,0,0.0,"Ultimately, of the 600 landslides discovered, we have no way to know when they will become catastrophic. The difference is we know where they are, and policymakers on the West Coast can plan ahead of the disasters.",226
Missing Value,Missing Value,instagram,Ad 13,Ad 13,Ad 13,0.0,2,0,0.0,2.0,0.0,0,0.0,Screening protocols to determine who qualifies for “compassionate dialysis” are driving an unintended consequence. The protocols are putting too much strain on the emergency room but understanding the problem can uncover the solution.,180
Missing Value,Missing Value,instagram,Ad 1;...and 2 more ads,Ad 1;...and 2 more ads,Ad 1;...and 2 more ads,334.56,20454,17,0.0,14842.0,0.0,1,17.0,Introducing the SMU class of 2022! Hear from recent graduates as they reflect on their time spent at SMU and share what they have planned next.,104
Missing Value,Missing Value,instagram,Ad 1;...and 3 more ads,Ad 1;...and 3 more ads,Ad 1;...and 3 more ads,269.3,17543,17,0.0,16973.0,0.0,34,0.0,Introducing the SMU class of 2022! Hear from recent graduates as they reflect on their time spent at SMU and share what they have planned next.,104
Link clicks,Missing Value,instagram,Ad 1;...and 9 more ads,Ad 1;...and 9 more ads,Ad 1;...and 9 more ads,1575.3799999999999,773290,1333,0.0,731102.0,0.0,1315,1333.0,Introducing the SMU class of 2022! Hear from recent graduates as they reflect on their time spent at SMU and share what they have planned next.,104
Link clicks,Missing Value,instagram,Ad 2,Ad 2,Ad 2,250.12,23424,78,0.0,20031.0,0.0,1,78.0,Bringing Big Ideas to Life at SMU,46
Missing Value,Missing Value,instagram,Ad 2 - SMU Giving Day Wave 3;...and 2 more ads,Ad 2 - SMU Giving Day Wave 3;...and 2 more ads,Ad 2 - SMU Giving Day Wave 3;...and 2 more ads,341.55,28491,49,0.0,21768.0,0.0,101,0.0,Shape the future. Give now.,182
Link clicks,Missing Value,instagram,Ad 2 December 2021;...and 3 more ads,Ad 2 December 2021;...and 3 more ads,Ad 2 December 2021;...and 3 more ads,82.16,68544,102,0.0,64901.0,0.0,97,102.0,"It’s the fourth time Wang, a professor with the Department of Electrical and Computer Engineering in SMU’s Lyle School of Engineering, has won the award.",113
Link clicks,Missing Value,instagram,Ad 2 February 2022;...and 3 more ads,Ad 2 February 2022;...and 3 more ads,Ad 2 February 2022;...and 3 more ads,12.89,10061,11,0.0,9553.0,0.0,22,11.0,"There she goes again. Neha Husein '19 was selected as the first winner of the WEDallas inaugural pitch competition, a decision that completed a two-month cohort for women entrepreneurs.",212
Missing Value,Missing Value,instagram,Ad 2 January 2022,Ad 2 January 2022,Ad 2 January 2022,1.61,243,1,0.0,235.0,0.0,0,1.0,"From the beaches of Australia to the bayous of Louisiana, Isabelle finds her inspiration in the places where water meets land. Her next step will take her to further her studies on climate and policymaking at both Oxford and Durham Universities in England.",81
Link clicks,Missing Value,instagram,Ad 2 January 2022;...and 2 more ads,Ad 2 January 2022;...and 2 more ads,Ad 2 January 2022;...and 2 more ads,374.54,342805,386,0.0,313451.0,0.0,140,386.0,"From the beaches of Australia to the bayous of Louisiana, Isabelle finds her inspiration in the places where water meets land. Her next step will take her to further her studies on climate and policymaking at both Oxford and Durham Universities in England.",81
Link clicks,Missing Value,instagram,Ad 2-1 - Common Connections;...and 1 more ad,Ad 2-1 - Common Connections;...and 1 more ad,Ad 2-1 - Common Connections;...and 1 more ad,241.47,259611,268,238224.0,205842.0,3017.0,113,268.0,"“When I stepped out to the uncomfortable and just decided to get more involved, that’s when I realized, ‘this is a good thing.’” Learn more about what life on the Hilltop is all about.",283
Link clicks,Missing Value,instagram,Ad 2-2 - Common Connections;...and 1 more ad,Ad 2-2 - Common Connections;...and 1 more ad,Ad 2-2 - Common Connections;...and 1 more ad,148.47,162946,126,0.0,130684.0,0.0,333,126.0,“I picked SMU because it was just an amazing environment where I felt like I could be home and become the best version of myself.” Learn more about how you can make your own story at SMU.,265
