Text ID,Text,Spend,Impressions,Clicks,Video Starts,Reach,Video Full Completion,Engagements,Results,Platform,Platform Count,Ad,Ad Count,Ad Group,Ad Group Count,Campaign,Campaign Count,Result Type,Result Type Count,Objective,Objective Count
46,Bringing Big Ideas to Life at SMU,11341.99,3435662,11267,0.0,2813946.0,0.0,2891,10937.0,"LinkedIn, facebook, instagram, unknown",4,"Ad 2, Ad 2;...and 2 more ads, Ad 2;...and 3 more ads, Ad 2;...and 5 more ads, Higher Ed Influencers_Ad 3",5,"Ad 2, Ad 2;...and 2 more ads, Ad 2;...and 3 more ads, Ad 2;...and 5 more ads, Higher Ed Influencers",5,"Ad 2, Ad 2;...and 2 more ads, Ad 2;...and 3 more ads, Ad 2;...and 5 more ads, CollegePlus Editorial - 2022",5,"Link clicks, Missing Value",2,"Missing Value, Website visits",2
47,"Bringing Big Ideas to Life at SMU, Visit Website To Know More.",792.5699999999999,14728,112,0.0,0.0,0.0,454,0.0,LinkedIn,1,Dallas Geographic Area_Ad 3,1,Dallas Geographic Area,1,CollegePlus Editorial - 2022,1,Missing Value,1,Website visits,1
48,"Bryan S. Sheffield Hall will provide students with innovative learning environments, enabling Mustangs to develop critical skills that are vital to success in today’s evolving workplace.",8.27,4302,15,0.0,0.0,0.0,15,4.0,Twitter,1,Sheffield Annoucement,1,Sheffield Hall - Announcement,1,Sheffield Hall | April 2021,1,Link clicks,1,Website traffic,1
49,"By continuing to strengthen our community engagement, nationally competitive athletics and diverse public programming, we will make a positive difference in Dallas and in communities far beyond the Hilltop.",390.71,107876,167,0.0,40439.0,0.0,138,56528.0,"Twitter, facebook, instagram, unknown",4,"DMN SMU Ignited Editorial | Dallas Geographic Area | November Content, Enhance Pillar Overview",2,"DMN SMU Ignited Editorial | Dallas Geographic Area | November Content, Dallas Geographic Area, Higher Ed Influencers, SMU Page Followers",4,"DMN SMU Ignited Editorial | Dallas Geographic Area | November Content, SMU Ignite Kickoff and Pillar Promo",2,"Impressions, Missing Value",2,"Missing Value, Reach",2
50,"Calling all Houston-area Mustangs! Join us Friday, October 29 as we continue building on a century of excellence with the Houston kickoff of SMU Ignited: Boldly Shaping Tomorrow.",100.0,10704,59,8325.0,4882.0,270.0,18,4882.0,"facebook, instagram, unknown",3,Houston Kickoff | Houston Alumni | SMU Ignited Kickoff and Pillar Promo,1,Houston Kickoff | Houston Alumni | SMU Ignited Kickoff and Pillar Promo,1,Houston Kickoff | Houston Alumni | SMU Ignited Kickoff and Pillar Promo,1,"Missing Value, Reach",2,Missing Value,1
51,Can conquering fractions lead to algebra success?,5.4399999999999995,96,1,0.0,0.0,0.0,5,0.0,LinkedIn,1,Higher Ed Influencers_Wave 2_Ad 12,1,Higher Ed Influencers_Wave 2,1,Higher Ed Blitz_Wave 2,1,Missing Value,1,Website visits,1
52,"Capturing images through fog, face identification around corners, and imaging through barriers like the human skull are just some of the potential applications for the technology.",852.74,288496,4207,0.0,265922.0,0.0,1250,4181.0,"Twitter, facebook, instagram, unknown",4,"Ad 1, Ad 1 December 2021;...and 3 more ads, Ad 7",3,"Ad 1 December 2021;...and 3 more ads, Ad 7, Higher Ed Influencers | December 2021, Higher Ed Influencers_Wave 2",4,"Ad 1 December 2021;...and 3 more ads, Ad 7, Content_Traffic_December_2021, Higher Ed Blitz_Wave 2",4,"Link clicks, Missing Value",2,"Missing Value, Website traffic",2
53,Celebrating Bold Mustangs Who Serve our Country,1000.0,107397,112,0.0,0.0,0.0,112,0.0,LinkedIn,1,"Brand awareness - May 19, 2022_Military Alumni Ad",1,"Brand awareness - May 19, 2022",1,SMU in Southern California,1,Missing Value,1,Brand awareness,1
54,"Coding a solution to resolve intestate succession. Madison Arcemont, a recent grad of SMU Dedman School of Law, developed a smart contract using blockchain technology to streamline the legal process.",722.66,84263,2005,0.0,77721.0,0.0,292,1995.0,"Twitter, facebook, instagram, unknown",4,Ad 3,1,"Ad 3, Higher Ed Influencers_Wave 2",2,"Ad 3, Higher Ed Blitz_Wave 2",2,"Link clicks, Missing Value",2,"Missing Value, Website traffic",2
55,"Coelacanths are giant, bottom-dwelling fish whose ancient lineage stretches back more than 360 million years.",3656.4900000000002,961653,10988,0.0,793190.0,0.0,5054,10231.0,"Twitter, facebook, instagram, unknown",4,"Ad 4, Ad 4 December 2021;...and 3 more ads",2,"Ad 4 December 2021;...and 3 more ads, Higher Ed Influencers | December 2021",2,"Ad 4 December 2021;...and 3 more ads, Content_Traffic_December_2021",2,"Link clicks, Missing Value",2,"Missing Value, Website traffic",2
56,"Come celebrate outstanding leaders in philanthropy, business and civic life at the 2022 SMU Distinguished Alumni Awards. Get your tickets now.",350.0,55529,9152,0.0,0.0,0.0,9153,9133.0,Twitter,1,Ticket Sales,1,Ticket Sales - DFW Area,1,Distinguished Alumni Awards,1,Link clicks,1,Website traffic,1
57,"Could a company train an employee to become more conscientious, even if the worker isn’t invested in improving that trait? A new study suggests yes.",705.84,155187,757,0.0,133811.0,0.0,393,757.0,"facebook, instagram, unknown",3,Ad 3 January 2022;...and 3 more ads,1,Ad 3 January 2022;...and 3 more ads,1,Ad 3 January 2022;...and 3 more ads,1,"Link clicks, Missing Value",2,Missing Value,1
58,Dallas Mayor Eric Johnson says it's time to Pony Up,400.0,61355,355,0.0,0.0,0.0,363,0.0,LinkedIn,1,Higher Ed Influencers_HE Athletic Ad,1,Higher Ed Influencers,1,SMU Athletic Conference,1,Missing Value,1,Website visits,1
59,Dallas area sports and the city’s vibrant shopping scene energize SMU students with big games and an endless number of options. Learn why SMU and Dallas are the place to be.,32.83,14830,48,0.0,0.0,0.0,48,14830.0,Twitter,1,Score,1,Prospective Students/Parents,1,Dallas Experience | Wave 1 | Awareness | Admissions ,1,Impressions,1,Reach,1
60,"Dallas is home to the largest contiguous urban arts district in the U.S. Join SMU students, Jo ’23 and Adam ‘22, as they take a tour of Dallas’ downtown art district.",33.2,15206,36,10672.0,0.0,202.0,51,15206.0,Twitter,1,See. Do. Live.,1,Prospective Students/Parents,1,Dallas Experience | Wave 1 | Awareness | Admissions ,1,Impressions,1,Reach,1
61,"Dallas offers absolutely anything and everything. In both work and fun, the vibrant essence of the city is woven into student life, culture and academics. Here are some reasons we love calling it our home.",66.64,30462,90,0.0,0.0,0.0,90,30462.0,Twitter,1,"General - Map, General - Students",2,Prospective Students/Parents,1,Dallas Experience | Wave 1 | Awareness | Admissions ,1,Impressions,1,Reach,1
62,Diem-Tho mastered the Mustang mashup with support from University scholarships and stipends.,281.88,70485,223,0.0,57631.0,0.0,30,223.0,"facebook, instagram, unknown",3,Diem Tho | Here We Go Mustangs | May 2021;...and 1 more ad,1,Diem Tho | Here We Go Mustangs | May 2021;...and 1 more ad,1,Diem Tho | Here We Go Mustangs | May 2021;...and 1 more ad,1,"Link clicks, Missing Value",2,Missing Value,1
63,Don't limits on what your mind wants to explore. The results can change lives.,315.82,37603,364,0.0,32923.0,0.0,54,364.0,"facebook, instagram, unknown",3,Veronica | Here We Go Mustangs | May 2021,1,Veronica | Here We Go Mustangs | May 2021,1,Veronica | Here We Go Mustangs | May 2021,1,"Link clicks, Missing Value",2,Missing Value,1
64,Doran I.G. Bennett has received a Human Frontier Science Program grant to study how photosynthesis uses sunlight to support growth in changing environments.,1.4899999999999998,379,3,0.0,278.0,0.0,0,3.0,"facebook, instagram, unknown",3,SMU Chemist Photosynthesis | April Stories | April Higher Ed Stories | April 2021,1,SMU Chemist Photosynthesis | April Stories | April Higher Ed Stories | April 2021,1,SMU Chemist Photosynthesis | April Stories | April Higher Ed Stories | April 2021,1,Missing Value,1,Missing Value,1
65,"Doran I.G. Bennett, a theoretical chemist at SMU, has received a grant to study how photosynthesis uses sunlight to support growth in changing environments.",42.53,20866,156,0.0,0.0,0.0,159,28.0,Twitter,1,SMU Chemist Grant,1,SMU chemist and team to study how photosynthesis uses sunlight,1,April Higher Ed Stories | April 2021,1,Link clicks,1,Website traffic,1
66,Dr. Thornton and Dr. MacFarlane will use the grants to investigate new theoretical approaches to enhancing cybersecurity using quantum information and to leverage these approaches to build quantum photonic integrated circuits.,52.480000000000004,9481,265,0.0,9118.0,0.0,42,265.0,"facebook, instagram",2,Quantum-related cyber research,1,Quantum-related cyber research,1,Quantum-related cyber research,1,"Link clicks, Missing Value",2,Missing Value,1
67,"Each year, the award is given to a researcher with an exemplary early career trajectory and who substantially contributes to the field of education finance and policy.",56.66,21936,174,0.0,0.0,0.0,177,37.0,Twitter,1,Dominique Baker Award,1,Dominique Baker Award,1,April Higher Ed Stories | April 2021,1,Link clicks,1,Website traffic,1
68,"Empowered by new improvements, Meadows School at SMU will further bridge the classic, the contemporary and the emerging frontiers of artistic expression, attracting a gifted community of artists, scholars and visitors from across the region and around the world.",1149.98,659407,391,442443.0,592983.0,2177.0,176,653905.0,"Twitter, audience_network, facebook, unknown",4,"Meadows Dedication , Meadows Dedication;...and 1 more ad",2,"Art/Theatre Enthusiasts , DFW Geographical Area, Meadows Dedication;...and 1 more ad",3,"Meadows Dedication, Meadows Dedication;...and 1 more ad",2,"Impressions, Missing Value, Reach",3,"Missing Value, Reach",2
69,Empowering the future of SMU's Dedman College,631.73,99617,55,88016.0,0.0,29492.0,55,0.0,LinkedIn,1,Texas/OK University Cities - Broad_Armstrong Dedman Gift Announcement,1,Texas/OK University Cities - Broad,1,Armstrong Dedman Gift Oct. 2022 | Awareness | Ignited | Broad,1,Missing Value,1,Brand awareness,1
