Tweet Text,Campaign name,Ad name,Cost Per Result,Spend,Cost Per Result Type,Cost per 1k impressions,Cost per engagement,Tweet publish date,Placement,Campaign ID,Ad Group ID,Tweet status,Tweet ID,Campaign ID.1
"SMU is collaborating with @NVIDIA, investing $11.5 million to dramatically boost the University’s high-performance computing system.

It’s a game-changer for artificial intelligence research, with real benefits for North Texas’ growth as a technology hub. https://t.co/1YtYzVDoWf https://t.co/8OY7ABSgJj",Higher Ed Stories | November 2021,Untitled ad,6.67,261.61,Cost per 1k impressions,6.67,1.48,11-Nov-2021 09:01,All,i27754916,i34680603,Expired,1458812123874836480,27754916
"We're propelling North Texas into the AI era with an @nvidia DGX SuperPOD.

As the second university in America to get a DGX SuperPOD, it will advance our community ahead in AI capabilities to fuel degree programs and corporate partnerships.

https://t.co/jYuvQi40kC",Higher Ed Stories | November 2021,summary_large_image,6.65,248.6,Cost per 1k impressions,6.65,3.41,15-Nov-2021 17:09,All,i27754916,i34680603,Expired,1460384438366261252,27754916
"We used the ManeFrame to analyze the mammoth amount of data from satellite imagery to look beneath the Earth's surface. What did we find? 

Over 600 slow-moving landslides occurring near the U.S. West Coast.",Bridge Stories | Higher Ed Influencers | November 2021,Detecting the unseen paid,0.51,499.37,Cost per link click,21.01,0.48,02-Nov-2021 15:07,All,i27573655,i34447618,Expired,1455627692737392640,27573655
An immersive summer internship in economics and public policy allowed Nia Kamau '22 an opportunity to create sustainable social change.,Bridge Stories | Higher Ed Influencers | November 2021,Nia Kamau Paid,0.63,0.63,Cost per link click,2.01,0.21,02-Nov-2021 14:55,All,i27573655,i34447617,Expired,1455624522510389253,27573655
"As part of the @SMUCox renovation and expansion project, Katy A. and Kyle Miller ’01 have committed a $5 million gift to establish the Kyle and Katy Miller Courtyard to provide our community with an open, welcoming environment to exchange ideas and build business associations.",SMU Ignite Kickoff and Pillar Promo,PAID Miller Gift,5.82,9.81,Cost per 1k impressions,5.82,3.27,17-Oct-2021 12:42,All,i27078457,i33808087,Expired,1449793050721533956,27078457
"SMU Ignited: Boldly Shaping Tomorrow is a fundraising campaign to help empower outstanding students, enrich teaching and research, and enhance the campus and community.",SMU Ignite Kickoff and Pillar Promo,Texas Today Interview,5.9,9.86,Cost per 1k impressions,5.9,3.29,17-Oct-2021 12:46,All,i27078457,i33808087,Expired,1449793952287166466,27078457
".@SMUCox is igniting the future of business education!

The next generation of business leaders will be empowered to meet grand challenges with meaningful solutions through two bold initiatives that will propel us into our next era of innovation.",SMU Ignite Kickoff and Pillar Promo,ORGANIC release: Building & MBA Drive,5.85,9.84,Cost per 1k impressions,5.85,3.28,15-Oct-2021 13:45,All,i27078457,i33808087,Expired,1449084042058469380,27078457
"""Increased research capability means we can think about research with impact, providing more solutions to pressing problems in the world.""-  Provost Dr. Elizabeth G. Loboa.

Learn more about SMU's path toward landing one of the top research designations in the country.",SMU Ignite Kickoff and Pillar Promo,Road to R1 Explained,5.51,226.6,Cost per 1k impressions,5.51,1.94,01-Oct-2021 14:59,All,i27078457,i33808087,Paused,1444029251913535489,27078457
"A gift from Kim and Bill Shaddock ’74 will establish Shaddock Hall as part of the building renovation project of the @SMUCox School of Business.

The $6 million contribution will foster educational excellence through dedicated spaces for learning, research and collaboration.",SMU Ignite Kickoff and Pillar Promo,Shaddock Gift,5.47,206.76,Cost per 1k impressions,5.47,2.27,01-Oct-2021 11:34,All,i27078457,i33808087,Paused,1443977613341433862,27078457
"This is our moment to join the highest rank of universities.

With your support, we will expand graduate and doctoral fellowships to encourage students to excel and develop into experts who are leaders in their fields.",SMU Ignite Kickoff and Pillar Promo,Enrich Pillar Overview,5.49,27.56,Cost per 1k impressions,5.49,2.51,23-Sep-2021 16:53,All,i27078457,i33808088,Expired,1441158831799603209,27078457
